Lon,Lat,ID_merged
145,89.5,165
146,89.5,165
147,89.5,165
148,89.5,165
149,89.5,165
150,89.5,165
151,89.5,165
152,89.5,165
153,89.5,165
154,89.5,165
155,89.5,165
156,89.5,165
157,89.5,165
158,89.5,165
159,89.5,165
160,89.5,165
161,89.5,165
162,89.5,165
163,89.5,165
164,89.5,165
165,89.5,165
166,89.5,165
167,89.5,165
168,89.5,165
169,89.5,165
170,89.5,165
171,89.5,165
172,89.5,165
173,89.5,165
174,89.5,165
175,89.5,165
176,89.5,165
177,89.5,165
178,89.5,165
179,89.5,165
-180,88.5,165
-179,88.5,165
-178,88.5,165
-177,88.5,165
-176,88.5,165
-175,88.5,165
-174,88.5,165
-173,88.5,165
-172,88.5,165
-171,88.5,165
-170,88.5,165
-169,88.5,165
-168,88.5,165
-167,88.5,165
-166,88.5,165
-165,88.5,165
-164,88.5,165
-163,88.5,165
-162,88.5,165
-161,88.5,165
-160,88.5,165
-159,88.5,165
-158,88.5,165
-157,88.5,165
-156,88.5,165
-155,88.5,165
-154,88.5,165
-153,88.5,165
-152,88.5,165
-151,88.5,165
-150,88.5,165
-149,88.5,165
-148,88.5,165
-147,88.5,165
-146,88.5,165
-145,88.5,165
-144,88.5,165
-143,88.5,165
-142,88.5,165
-141,88.5,165
-140,88.5,165
-139,88.5,165
-138,88.5,165
-137,88.5,165
-136,88.5,165
-135,88.5,165
-134,88.5,165
-133,88.5,165
-132,88.5,165
-131,88.5,165
-130,88.5,165
-129,88.5,165
-128,88.5,165
-127,88.5,165
-126,88.5,165
-125,88.5,165
-124,88.5,165
-123,88.5,165
-122,88.5,165
-121,88.5,165
-120,88.5,165
-119,88.5,165
-118,88.5,165
-117,88.5,165
-116,88.5,165
-115,88.5,165
-114,88.5,165
-113,88.5,165
-112,88.5,165
-111,88.5,165
-110,88.5,165
-109,88.5,165
-108,88.5,165
-107,88.5,165
-106,88.5,165
-105,88.5,165
-104,88.5,165
-103,88.5,165
-102,88.5,165
-101,88.5,165
-100,88.5,165
-99,88.5,165
-98,88.5,165
-97,88.5,165
-96,88.5,165
-95,88.5,165
-94,88.5,165
-93,88.5,165
-92,88.5,165
-91,88.5,165
-90,88.5,165
-89,88.5,165
-88,88.5,165
-87,88.5,165
-86,88.5,165
-85,88.5,165
-84,88.5,165
-83,88.5,165
-82,88.5,165
-81,88.5,165
-80,88.5,165
-79,88.5,165
-78,88.5,165
-77,88.5,165
-76,88.5,165
-75,88.5,165
-74,88.5,165
-73,88.5,165
-72,88.5,165
-71,88.5,165
-70,88.5,165
-69,88.5,165
-68,88.5,165
-67,88.5,165
-66,88.5,165
-65,88.5,165
-64,88.5,165
-63,88.5,165
-62,88.5,165
-61,88.5,165
-60,88.5,165
-59,88.5,165
-58,88.5,165
-57,88.5,165
-56,88.5,165
-55,88.5,165
-54,88.5,165
-53,88.5,165
-52,88.5,165
-51,88.5,165
-50,88.5,165
-49,88.5,165
-48,88.5,165
-47,88.5,165
-46,88.5,165
-45,88.5,165
-44,88.5,165
-43,88.5,165
-42,88.5,165
-41,88.5,165
-40,88.5,165
-39,88.5,165
-38,88.5,165
-37,88.5,165
-36,88.5,165
-35,88.5,165
-34,88.5,165
-33,88.5,165
-32,88.5,165
-31,88.5,165
-30,88.5,165
-29,88.5,165
-28,88.5,165
-27,88.5,165
-26,88.5,165
-25,88.5,165
-24,88.5,165
-23,88.5,165
-22,88.5,165
-21,88.5,165
-20,88.5,165
-19,88.5,165
-18,88.5,165
-17,88.5,165
-16,88.5,165
-15,88.5,165
-14,88.5,165
-13,88.5,165
-12,88.5,165
-11,88.5,165
-10,88.5,165
-9,88.5,165
-8,88.5,165
-7,88.5,165
-6,88.5,165
-5,88.5,165
-4,88.5,165
-3,88.5,165
-2,88.5,165
-1,88.5,165
0,88.5,165
1,88.5,165
2,88.5,165
3,88.5,165
4,88.5,165
5,88.5,165
6,88.5,165
7,88.5,165
8,88.5,165
9,88.5,165
10,88.5,165
11,88.5,165
12,88.5,165
13,88.5,165
14,88.5,165
15,88.5,165
16,88.5,165
17,88.5,165
18,88.5,165
19,88.5,165
20,88.5,165
21,88.5,165
22,88.5,165
23,88.5,165
24,88.5,165
25,88.5,165
26,88.5,165
27,88.5,165
28,88.5,165
29,88.5,165
30,88.5,165
31,88.5,165
32,88.5,165
33,88.5,165
34,88.5,165
35,88.5,165
36,88.5,165
37,88.5,165
38,88.5,165
39,88.5,165
40,88.5,165
41,88.5,165
42,88.5,165
43,88.5,165
44,88.5,165
45,88.5,165
46,88.5,165
47,88.5,165
48,88.5,165
49,88.5,165
50,88.5,165
51,88.5,165
52,88.5,165
53,88.5,165
54,88.5,165
55,88.5,165
56,88.5,165
