f.u,f.v,f.minu,f.minv,search.vol,rmse,region,cor,catchNA
0.352574584300164,0.394713358962908,0.921405742927454,0.624531910335645,0.312147465221584,0.303100394880552,1,0.808455566743681,0
0.755609762191307,0.871956236530095,1.03856610052753,1.33347148393746,0.352310370170977,0.306333843205327,2,0.663337926360909,0
0.236083237838466,0.850617727854522,0.511187194509897,0.970315303523559,0.297867103690747,0.0617396630620813,3,0.434274055879229,0
0.977838354678824,0.676018229408655,1.22176548840012,0.753145245513879,0.264320809369907,0.415004018566069,4,0.844845407272874,0
0.375086963246577,0.748700193818659,0.460666132429615,0.365163105609827,0.680370862804353,0.326225620420792,5,0.617544573663359,0
0.733132584471954,0.926698059228947,0.0637827708157711,0.126575796126854,0.51843794021965,0.418221873792947,6,-0.0244644505760801,0
0.716176291924436,0.101310359711759,0.406931030915119,1.63616094224853,0.377035679346183,1.5758386241245,7,0.388016798108151,0
0.95961102838954,0.751031751449453,0.944541006599087,0.321941515045241,0.393389879084425,0.778020508718906,8,0.354213904696176,0
0.279523422174156,0.156872888634447,0.135719176641665,1.80321229587216,0.23805626617698,0.356234515019575,9,0.42188588167395,0
0.316150363816414,0.81949518987909,0.556311889803037,0.000986309028230607,0.744019702085294,0.0337503817948728,10,0.519000362777337,0
0.735417362034787,0.364557757070288,0.984220683947206,0.584612778960727,0.40691099796351,0.313520965144784,11,0.679195914538233,0
0.568878271686845,0.61855055271415,1.55674149102066,0.0414420079113915,0.967239091882016,0.0726415586131205,12,0.701798865612463,0
0.969968426195905,0.0852879031817429,0.0743749831686728,0.110286454956513,0.727547825022601,1.36396774328432,13,0.808492048295418,0
0.0755690709711053,0.421878760487307,0.130192978563719,0.91854146566242,0.604069720589556,0.254991843526927,14,0.962258718322731,0
0.643562869385351,0.690568936686032,1.99769463118166,1.27023985917214,0.369047118724789,0.119005894374247,15,0.593092056879397,0
0.165958191286773,0.987233457681024,1.20477007900318,0.062399613128975,0.994821403105277,0.0701064318966641,16,-0.193167496508023,0
0.320884908563457,0.663185763857327,0.410906128468923,0.446059553367086,0.778398838575464,0.0817446765221852,17,0.65374515613336,0
0.0956965201464482,0.381842292922083,1.16878742940724,0.573236443614587,0.945203386178706,0.136531896042971,18,0.884993692565343,0
0.949681509922957,0.88880045918352,1.50844818634493,0.916322334023658,0.819671082200483,0.328966377809193,19,0.222213894965,0
0.286536421482218,0.544809044153895,0.377701663716696,0.527041220218409,0.757419306266355,0.352909653569832,20,0.195815268354289,0
0.911853194646537,0.700885245926445,1.99547731899749,1.26453995981067,0.548746340124635,0.285182405439756,21,0.485205435041116,0
0.811942029157654,0.638108856790233,0.293029493792914,0.842703443525825,0.409741622892674,0.937359879543069,22,0.628151974937477,0
0.784875665989937,0.611484163404908,0.127297844440676,0.977175993215758,0.402618967905873,0.479151044311146,23,0.743029493251605,0
0.10930421034107,0.941723820522893,0.720784981139004,1.36197878169362,0.881155072559137,0.470188073891374,24,0.855558287512871,0
0.147503151726676,0.985368180705002,0.856638704051264,1.66270709886355,0.634082530684536,0.225549642781265,25,0.757968457473931,0
0.828377968394198,0.0301209806348197,1.87145396193489,1.74603281724267,0.251386787028983,0.165524497352848,26,0.894818209507385,0
0.352574584300164,0.394713358962908,0.921405742927454,0.624531910335645,0.312147465221584,0.436615254406212,27,0.932437475278484,0
